# Sig11,Sig12,gammac
-6.164522765462735379e+02,1.460000000000000142e+01,3.099499955693089601e-02
-6.079841949009761493e+02,1.538484848484848655e+01,3.093461890503992895e-02
-5.995035116547829830e+02,1.616969696969697168e+01,3.087444926414732033e-02
-5.910102681859285667e+02,1.695454545454545681e+01,3.081448949298615930e-02
-5.825045056723485004e+02,1.773939393939394193e+01,3.075473845911981530e-02
-5.739862650931102053e+02,1.852424242424242351e+01,3.069519503886196030e-02
-5.654555872301629051e+02,1.930909090909090864e+01,3.063585811709143222e-02
-5.569125126702549551e+02,2.009393939393939377e+01,3.057672658693868020e-02
-5.483570818073752662e+02,2.087878787878787890e+01,3.051779934907928107e-02
-5.397893348468263639e+02,2.166363636363636402e+01,3.045907530973422997e-02
-5.312093117194528986e+02,2.244848484848484915e+01,3.040055342855718656e-02
-5.226170523459609285e+02,2.323333333333333428e+01,3.034223258031548687e-02
-5.140125963084450404e+02,2.401818181818181586e+01,3.028411172644697794e-02
-5.053959830104208208e+02,2.480303030303030454e+01,3.022618985491114935e-02
-4.967672518712525402e+02,2.558787878787878611e+01,3.016846574496026556e-02
-4.881264417047258917e+02,2.637272727272727124e+01,3.011093870130289799e-02
-4.794735916996104379e+02,2.715757575757575637e+01,3.005360714080805920e-02
-4.708087852470789016e+02,2.794242424242424150e+01,2.999646241020757081e-02
-4.621319650635465450e+02,2.872727272727272663e+01,2.993952054936586601e-02
-4.534432212433636096e+02,2.951212121212120820e+01,2.988277133586740575e-02
-4.447425918670586498e+02,3.029696969696969688e+01,2.982621378148755942e-02
-4.360301148455781686e+02,3.108181818181817846e+01,2.976984690284327842e-02
-4.273058279300315689e+02,3.186666666666666359e+01,2.971366972279768440e-02
-4.185697687063354806e+02,3.265151515151514872e+01,2.965768127433407800e-02
-4.098219745776183345e+02,3.343636363636363740e+01,2.960188058274008244e-02
-4.010624828145086553e+02,3.422121212121211897e+01,2.954626669983709611e-02
-3.922913304789702806e+02,3.500606060606060055e+01,2.949083866090929443e-02
-3.835085545606517030e+02,3.579090909090908923e+01,2.943559554640291093e-02
-3.747141917865817504e+02,3.657575757575757081e+01,2.938053640005598016e-02
-3.659082787645014605e+02,3.736060606060605949e+01,2.932566029084560447e-02
-3.570908519398046792e+02,3.814545454545454106e+01,2.927096629326571622e-02
-3.482619475972910550e+02,3.893030303030302264e+01,2.921645348787802951e-02
-3.394216018622642537e+02,3.971515151515151132e+01,2.916212096146230184e-02
-3.305698507014540724e+02,4.050000000000000000e+01,2.910796780705225337e-02
-3.217067299238802889e+02,4.128484848484848158e+01,2.905399312392822897e-02
-3.128322751816525624e+02,4.206969696969696315e+01,2.900019601758346138e-02
-3.039465219706394237e+02,4.285454545454545183e+01,2.894657559965919599e-02
-2.950495056306920674e+02,4.363939393939393341e+01,2.889313098780307495e-02
-2.861412613874722979e+02,4.442424242424242209e+01,2.883986131286851023e-02
-2.772218242159771648e+02,4.520909090909090366e+01,2.878676569420460241e-02
-2.682912290258629469e+02,4.599393939393938524e+01,2.873384327305955957e-02
-2.593495105423849623e+02,4.677878787878787392e+01,2.868109319111637745e-02
-2.503967033564156850e+02,4.756363636363635550e+01,2.862851459715408040e-02
-2.414328418945994486e+02,4.834848484848484418e+01,2.857610664562747205e-02
-2.324579604419023440e+02,4.913333333333332575e+01,2.852386849652518985e-02
-2.234720931349284001e+02,4.991818181818181444e+01,2.847179931588324914e-02
-2.144752739639428967e+02,5.070303030303029601e+01,2.841989827555179912e-02
-2.054675367738319380e+02,5.148787878787878469e+01,2.836816455314921173e-02
-1.964489152650584458e+02,5.227272727272726627e+01,2.831659733201590326e-02
-1.874194429946153093e+02,5.305757575757574784e+01,2.826519580116792357e-02
-1.783791533769744149e+02,5.384242424242423652e+01,2.821395915525018797e-02
-1.693280796850318097e+02,5.462727272727271810e+01,2.816288659448971943e-02
-1.602662550510464143e+02,5.541212121212120678e+01,2.811197732464881111e-02
-1.511937124675749828e+02,5.619696969696968836e+01,2.806123055697844898e-02
-1.421104847884001288e+02,5.698181818181817704e+01,2.801064550817140841e-02
-1.330166047294528937e+02,5.776666666666665861e+01,2.796022140031576356e-02
-1.239121048697272016e+02,5.855151515151514019e+01,2.790995746084854248e-02
-1.147970176521907177e+02,5.933636363636362887e+01,2.785985292250933720e-02
-1.056713753821081951e+02,6.012121212121211045e+01,2.780990702374920576e-02
-9.653521023888717423e+01,6.090606060606059913e+01,2.776011900670053573e-02
-8.738855425942067257e+01,6.169090909090908070e+01,2.771048812040172171e-02
-7.823143935265575521e+01,6.247575757575756938e+01,2.766101361825371377e-02
-6.906389729240241593e+01,6.326060606060605096e+01,2.761169475904315732e-02
-5.988595972559216563e+01,6.404545454545453254e+01,2.756253080620016394e-02
-5.069765816787015211e+01,6.483030303030301411e+01,2.751352102831302118e-02
-4.149902400588300821e+01,6.561515151515149569e+01,2.746466469891437057e-02
-3.229008849808594306e+01,6.639999999999999147e+01,2.741596109643511248e-02
-2.307088277561211243e+01,6.718484848484847305e+01,2.736740950416412937e-02
-1.384143784309332403e+01,6.796969696969696884e+01,2.731900921020493853e-02
-4.601784579484947457e+00,6.875454545454545041e+01,2.727075950743377067e-02
4.648046261124624046e+00,6.953939393939393199e+01,2.722265969345752032e-02
1.390802404870371767e+01,7.032424242424241356e+01,2.717470907057259119e-02
2.317811827647866352e+01,7.110909090909089514e+01,2.712690694572379019e-02
3.245829856043445716e+01,7.189393939393937671e+01,2.707925263044494088e-02
4.174853463744614857e+01,7.267878787878785829e+01,2.703174544088906422e-02
5.104879636586143477e+01,7.346363636363635408e+01,2.698438469769930126e-02
6.035905372423649595e+01,7.424848484848483565e+01,2.693716972600304280e-02
6.967927680997307505e+01,7.503333333333333144e+01,2.689009985540947306e-02
7.900943584012775034e+01,7.581818181818181301e+01,2.684317441987535066e-02
8.834950114856856374e+01,7.660303030303029459e+01,2.679639275779427746e-02
9.769944318659730698e+01,7.738787878787877617e+01,2.674975421187529567e-02
1.070592325219691929e+02,7.817272727272725774e+01,2.670325812912091243e-02
1.164288398380677734e+02,7.895757575757573932e+01,2.665690386079569429e-02
1.258082359331904314e+02,7.974242424242422089e+01,2.661069076238906095e-02
