num4_x,num4_y,num5_x,num5_y,num6f_x,num6f_y,num6m_x,num6m_y
-923.8969636,-123.4227452,-140.8359084,-144.8703315,-793.8999298,6.787179959,-500.1041929,33.21800152
-908.0192841,-105.9810463,-331.1850203,-142.4414173,-787.5779569,11.89920138,-431.4072984,35.31500039
-892.2120053,-93.05061708,-484.0857122,-140.3177601,-784.4193172,14.30483643,-368.9619762,36.81124757
-879.5258192,-80.11981242,-627.6184326,-137.894478,-775.0184919,16.70972054,-297.158069,38.00561703
-866.8302463,-66.58750512,-752.4199029,-135.1726973,-759.3754811,19.11385371,-169.1791855,38.89247671
-857.2980066,-55.76158418,-849.0939914,-130.0482854,-743.741857,20.91648425,-81.7838946,39.18271487
-844.6493675,-45.23679003,-892.7470497,-127.336267,-718.7402613,23.0187397,,
-835.1171278,-34.4108691,-917.6641648,-124.0249988,-665.6300571,26.32062118,,
-825.5942748,-24.1864508,,,-600.0354819,29.62100078,,
-812.936249,-13.06015402,,,-528.2081079,32.31912681,,
-803.3664623,0.171777437,,,-503.2252856,33.21837699,,
-793.9093165,6.185677329,,,,,,
